Pear - Weeping leaved,Pyrus salicifolia 'Pendula'
Pecan,Carya illinoinensis
Persian Ironwood,Parrotia persica vanessa
Persian Ironwood,Parrotia persica
Pine,Pinus unidentified species
Pine - Australian,Casuarina equisetifolia
Pine - Bhutan,Pinus wallichiana
Pine - Corsican,Pinus nigra
Pine - Scots,Pinus sylvestris
Pittosporum,Pittosporum  tenuifolium
Plane - London,Platanus x hispanica Tremonia
Plane - Oriental,Platanus orientalis
Plane - Oriental,Platanus orientalis Minaret
Plum,Prunus cerasifera
Plum,Prunus cerasifera 'Pissardii'
Plum - Common,Prunus domestica
Plum - Purple,Prunus cerasifera 'Nigra'
Plum - Victoria,Prunus domestica Victoria
Poplar - Balsam,Populus balsamifera
Poplar - Golden,Populus serotina 'Aurea'
Poplar - Lombardy,Populus nigra 'Italica'
Poplar - Silver,Populus alba
Poplar -Black,Populus nigra
Privet - Chinese,Ligustrum lucidum
Privet - Golden,Ligustrum ovalifolium
Privet - Variegate,Ligustrum lucidum 'Variegata'
Privet - Wild,Ligustrum vulgare
Red Robin,Photinia x fraseri 'Red Robin'
Redbud - Eastern,Cercis canadensis Forest Pansy
Redwood - Coastal,Sequoia sempervirens
Rhododendron - Common,Rhododendron ponticum
Rose of Sharon,Hibiscus resi
Rose of Sharon,Hibiscus syriacus
Rowan,Sorbus
Rowan,Sorbus aucuparia 'Sheerwater
Rowan,Sorbus torminalis
Rowan,Sorbus 'Sunshine'
Rowan,Sorbus x arnoldiana Schouten
Rowan,Sorbus 'Glowing Pink'
Rowan,Sorbus aucuparia Cardinal Roya
Rowan,Sorbus aucuparia Edulis
Rowan,Sorbus aucuparia 'Beissneri'
Rowan - 'Golden Wonder',Sorbus 'Golden Wonder'
Rowan - American,Sorbus americana
Rowan - Cut leaved,Sorbus aucuparia 'Asplenifolia
Rowan - Fastigiate,Sorbus aucuparia 'Fastigiata'
Rowan - Hubei,Sorbus hupehensis
Rowan - Japanese,Sorbus commixta
Rowan - Sargent's,Sorbus sargentiana
Rowan - Scarlet,Sorbus 'Embley'
Rowan - Vilmorin's,Sorbus vilmorinii
Rowan - Yellow berried,Sorbus 'Joseph Rock'
"Rowan, Mountain Ash",Sorbus aucuparia
Serviceberry,Amelanchier laevis
Serviceberry - Canadian,Amelanchier canadensis
Spindle tree,Euonymus europaeus
Spindle tree,Euonymus europ. 'Red Cascade'
Spruce,Picea unidentified species
Spruce - Colorado,Picea pungens
Spruce - Norway,Picea abies
Strawberry tree,Arbutus unedo
Stump,Stump Only
Sumach - Stag's horn,Rhus typhina
Sweet Chestnut,Castanea sativa
Sweet Chestnut - Variegated,Castanea sativa 'Albomarginata
Sweet Gum,Liquidambar styraciflua
Sweet Gum,Liquidambar sty Lane Roberts
Sweetgum,Liquidambar acalyina
Sweetgum,Liquidambar styraciflua Worple
Sweetgum - Gumball,Liquidambar styraciflua Gumbal
Sycamore,Acer pseudoplatanus
Sycamore,Acer pseudoplatanus 'Unidentif
Sycamore - Brillianissiumum,Acer pseudoplatanus 'Brilliant
Sycamore - Golden,Acer pseudoplatanus 'Worleei'
Sycamore - Purple Leaved,Acer pseudoplatanus 'Atropurpu
Sycamore - Purple leaved,Acer pseudoplatanus 'Purpureum
Tamarisk,Tamarix tetrandra
Tree of Heaven,Ailanthus altissima
Tulip - Upright,Liriodendron fastigiata
Tulip Tree,Liriodendron tulipifera
Tupelo,Nyssa sylvatica
Vacant Tree Pit,Vacant Tree Pit
Walnut,Juglans regia
Walnut - Black,Juglans nigra
Weeping silver birch,Betula pendula Obelisk
Whitebeam,Sorbus aria 'Wilfred fox'
Whitebeam,Sorbus aria
Whitebeam,Sorbus x thuringiaca 'Fastigia
Whitebeam,Sorbus x thuringiaca
Whitebeam,Sorbus aria 'Majestica'
Whitebeam,Sorbus aria 'Magnifica'
Whitebeam,Sorbus thibetica 'John Mitchel
Whitebeam,Sorbus x hybrida
Whitebeam,Sorbus aria 'Lutescens'
Whitebeam - Swedish,Sorbus intermedia 'Brouwers'
Whitebeam - Swedish,Sorbus intermedia
Whitebeam - Tibetan,Sorbus thibetica 'Mitchellii'
Wier maple,Acer saccharinum 'Laciniatum'
Willow,Salix unidentified species
Willow - Corkscrew,Salix matsudana 'Tortuosa'
Willow - Crack,Salix fragilis
Willow - Goat,Salix caprea
Willow - Kilmarnock,Salix caprea 'Pendula'
Willow - Scarlet,Salix alba chermesina
Willow - Weeping,Salix babylonica
Willow - Weeping,Salix x chrysocoma
Willow - White,Salix alba 'Tristis'
Willow - White,Salix alba
Yellowwood,Cladrastis kentukea
Yew,Taxus Unknown
Yew - common,Taxus baccata
Yew - Irish,Taxus baccata 'Fastigiata'
Zelkova - Caucasian,Zelkova carpinifolia
Zelkova - Japanese,Zelkova serrata Green Vase
